Supplementary Table S1:422 Curated Assembled Genome Collection											
File	Data Source	Source Category	Species	Total_length (bp)	Gap_Number	N Proportion	Contig_Sequences	Max_Scaffold (bp)	N50 (bp)	BUSCO	Telomere_Count
GCA_051529565.1_ASM5152956v1_genomic.fa	GCA_051529565.1	NCBI GenBank	Oryza sativa	393063439	4	1.0151E-06	Unknown	Unknown	Unknown	Unknown	15
GCA_052759605.1_rice_kato_T2T_genomic.fa	GCA_052759605.1	NCBI GenBank	Oryza sativa	395084276	0	0	Unknown	Unknown	Unknown	Unknown	24
GWHBCKX00000000.genome.fa	GWHBCKX00000000	NGDC Genome Warehouse	Oryza sativa	397706730	0	0	Unknown	Unknown	Unknown	Unknown	19
GWHBJTR00000000.genome.fa	GWHBJTR00000000	NGDC Genome Warehouse	Oryza sativa	389064249	42	5.39757E-05	Unknown	Unknown	Unknown	Unknown	15
GWHBJTS00000000.genome.fa	GWHBJTS00000000	NGDC Genome Warehouse	Oryza sativa	389561537	35	0.0000449222994004154	Unknown	Unknown	Unknown	Unknown	15
GWHBJWJ00000000.genome.fa	GWHBJWJ00000000	NGDC Genome Warehouse	Oryza sativa	382544024	279	7.29328E-05	Unknown	Unknown	Unknown	Unknown	14
GWHBJWL00000000.genome.fa	GWHBJWL00000000	NGDC Genome Warehouse	Oryza sativa	369485291	293	7.92995E-05	Unknown	Unknown	Unknown	Unknown	14
GWHFQJC00000000.1.genome.fasta.gz	 PRJCA030041	Project	Oryza_sativa	393649170	0	0	0	43726427	32460122	99.8	22
GCA_051999005.1_ASM5199900v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	399678207	11	2.55E-06	0	45643143	33159656	99.1	Unknown
GCA_051999015.1_ASM5199901v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	414656667	12	2.89E-06	0	47530083	33668208	99.8	Unknown
GCA_051998855.1_ASM5199885v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	418345388	18	4.30E-06	0	45697906	35261762	99.8	Unknown
GCA_051998845.1_ASM5199884v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	407636272	11	2.70E-06	0	45084654	32691738	99.8	Unknown
GCA_051998835.1_ASM5199883v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	409075086	3	7.33E-07	0	46307808	32745461	98	Unknown
GCA_051999025.1_ASM5199902v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	410913335	21	5.11E-06	0	51662894	34300696	98.6	Unknown
GCA_051998695.1_ASM5199869v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	414430799	14	3.38E-06	0	47033559	33713783	99.8	Unknown
GCA_051998715.1_ASM5199871v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	410453808	12	2.92E-06	0	45126944	34700384	99.8	Unknown
GCA_051998705.1_ASM5199870v1_genomic.fna.gz	 PRJNA1276249	Project	Oryza_rufipogon	454872493	162	3.56E-05	0	50397478	37554121	99.8	Unknown
GWHFIPW00000000.1.genome.fasta.gz	Australian Oryza rufipogon Genome Sequencing and Assembly Umbrella Project	Project	Oryza_rufipogon	399072477	41	2.15E-05	0	46317106	31728070	99.3	Unknown
GWHFIPV00000000.1.genome.fasta.gz	Australian Oryza rufipogon Genome Sequencing and Assembly Umbrella Project	Project	Oryza_rufipogon	410488348	27	1.41E-05	0	46773952	33219564	99.1	Unknown
GWHBJTM00000000.genome.fasta.gz	PRJCA008812	Project	Oryza_sativa	394186291	0	0	0	44766892	31968250	99.9	20
GWHBJTO00000000.genome.fasta.gz	PRJCA008812	Project	Oryza_sativa	398897054	0	0	0	46840560	31989361	99.5	22
GWHBJTN00000000.genome.fasta.gz	PRJCA008812	Project	Oryza_sativa	395642749	0	0	0	45018167	32470595	99.8	22
GWHBKKT00000000.genome.fasta.gz	PRJCA011659	Project	Oryza_sativa	375675464	4	1.06E-06	0	43539134	30015514	99.9	11
GWHDONR00000000.genome.fasta.gz	PRJCA012311	Project	Oryza_sativa	396639394	50	1.18E-05	0	45350634	32415786	99.9	15
GWHDONQ00000000.genome.fasta.gz	PRJCA012312	Project	Oryza_sativa	393526968	48	9.65E-06	0	45065562	32543215	99.8	19
GWHDONM00000000.genome.fasta.gz	PRJCA012313	Project	Oryza_sativa	376286124	71	1.46E-05	0	43631461	29915050	99.7	20
GWHDONS00000000.genome.fasta.gz	PRJCA012314	Project	Oryza_sativa	402973513	83	2.04E-05	0	44653391	33735984	99.9	18
GWHDONT00000000.genome.fasta.gz	PRJCA012315	Project	Oryza_sativa	406418519	222	5.41E-05	0	44438715	32804563	99.9	17
GWHDONV00000000.genome.fasta.gz	PRJCA012316	Project	Oryza_sativa	391470754	112	2.80E-05	0	44501172	31356741	99.8	18
GWHDONN00000000.genome.fasta.gz	PRJCA012317	Project	Oryza_sativa	375835598	91	2.44E-05	0	43094566	29948823	99.9	20
GWHDONP00000000.genome.fasta.gz	PRJCA012318	Project	Oryza_sativa	403252075	190	4.58E-05	0	45320980	33192725	99.9	13
GWHDONW00000000.genome.fasta.gz	PRJCA012319	Project	Oryza_sativa	385086572	52	1.35E-05	0	43103751	31714210	99.8	20
GWHDONO00000000.genome.fasta.gz	PRJCA012320	Project	Oryza_sativa	397416132	95	2.37E-05	0	44904972	32805649	99.8	17
GWHEQCR00000000.genome.fasta.gz	PRJCA020646	Project	Oryza_sativa	379234557	15	7.91E-06	0	43881444	30691512	99.8	22
GWHEQCS00000000.genome.fasta.gz	PRJCA020646	Project	Oryza_sativa	348265595	68	3.91E-05	0	37312016	29307860	94.1	21
GWHESQM00000000.genome.fasta.gz	PRJCA021567	Project	Oryza_sativa	381434168	0	0	0	43644224	31023933	99.9	23
GWHESQL00000000.genome.fasta.gz	PRJCA021567	Project	Oryza_sativa	384983192	0	0	0	43847894	31315577	99.8	22
GWHESQN00000000.genome.fasta.gz	PRJCA021567	Project	Oryza_sativa	380418052	1	2.63E-07	0	43952636	31369785	99.8	23
GWHESQO00000000.genome.fasta.gz	PRJCA021567	Project	Oryza_sativa	380030497	1	8.42E-08	0	44002623	30439989	99.9	23
GWHEQVR00000000.genome.fasta.gz	PRJCA022318	Project	Oryza_sativa	395196687	3	7.59E-07	0	44187703	31873801	99.8	13
GWHFQJB00000000.1.genome.fasta.gz	PRJCA030041	Project	Oryza_sativa	393843533	0	0	0	43407024	32422722	99.8	21
GWHFLAP00000000.1.genome.fasta.gz	PRJCA035559	Project	Oryza_sativa	401742337	0	0	0	45014073	32380740	99.8	24
GCA_046718375.1_Oruf_Collapsed_v1.0_genomic.fna.gz	PRJNA1145174	Project	Oryza_rufipogon	410488348	22	1.07E-05	0	46773952	33219564	99.1	Unknown
GWHAORU00000000.genome.fasta.gz	10.1007/s11427-020-1940-9	Research Article	Oryza_sativa	396098845	102	2.58E-05	137	44776151	31788916	99.7	8
WSSM.fixed.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	402612284	203	5.04E-05	45	48096293	37484077	99.9	8
Lemont.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	382744266	128	6.69E-05	53	44148841	30719088	99.8	12
Tumba.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391774102	43	2.20E-05	0	44024649	31619608	99.9	9
02428.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	379225673	40	2.11E-05	0	44184043	30009835	99.9	15
G8.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	393860379	65	3.30E-05	63	44243415	31133593	99.9	13
NamRoo.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	380608453	131	6.88E-05	49	43787523	30496889	99.9	13
R527.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391636531	61	3.12E-05	0	44603915	31782024	99.8	15
Y3551.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	393746584	73	3.71E-05	45	44646945	32192706	99.9	9
9311.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	393781719	103	5.23E-05	43	45172197	32151301	99.9	11
CN1.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	392525889	36	0.000917137	2	44384589	32513202	99.9	13
FS32.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	386550078	41	2.12E-05	0	44321178	30637047	99.9	9
G630.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	394612176	64	3.24E-05	56	44741693	31928581	99.9	16
S548.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	389576454	52	2.67E-05	0	44026948	31904635	99.8	14
TM.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391177666	34	1.74E-05	0	44897930	32333119	99.8	12
ZH11.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	377231710	25	1.33E-05	16	43725187	30060865	99.8	15
DHX2.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	378387859	120	6.34E-05	34	43691038	30031958	99.8	17
J4155.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391981654	82	4.18E-05	60	44607639	31359775	99.8	6
Kosh.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	378506127	77	4.07E-05	43	43490568	30045753	99.9	19
WSSM.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	395162361	141	7.14E-05	68	44526798	31990341	99.9	11
II32.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391776340	40	2.04E-05	19	44308212	32457334	99.9	10
IR64.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	388012723	28	1.44E-05	0	44028055	31794660	99.8	12
KY131.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	375080662	72	3.84E-05	4	43240005	29967218	99.8	12
LJ.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	371741613	29	1.56E-05	0	43648152	30062162	99.9	11
Basmati1.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	383066126	56	2.92E-05	47	43532864	30597052	99.8	16
D62.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	390346475	79	4.05E-05	60	44413039	30752922	99.9	14
FH838.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	396554023	69	3.48E-05	75	44824433	32972960	99.9	12
G46.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	390902553	69	3.53E-05	0	44279961	32212882	99.9	11
DG.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391161014	36	1.84E-05	0	43839490	32400179	99.4	7
YX1.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	387764197	89	4.59E-05	0	44453513	31366692	99.8	12
N22.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	385541059	19	7.02E-06	0	43167597	31660843	99.8	16
Y58S.genome.fa	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	391567733	36	1.84E-05	22	43546211	31745483	99.8	13
9311.fasta.gz	10.1016/j.cell.2021.04.046	Research Article	Oryza_sativa	398553266	3	7.53E-07	0	44997785	32384097	99.8	19
GWHBEBN00000000.genome.fasta.gz	10.1016/j.csbj.2022.01.030	Research Article	Oryza_sativa	374503482	26	4.03E-06	0	43984979	30579488	99.9	18
GCA_014526345.1_IGDBCAS_Zhonghua11_1.0_genomic.fna.gz	10.1016/j.molcel.2020.07.005	Research Article	Oryza_sativa	378861062	212	5.31E-05	54	47952635	31335401	99.8	19
GWHBCKX00000000.genome.fasta.gz	10.1016/j.molp.2021.06.017.	Research Article	Oryza_sativa	397706730	0	0	0	45032876	31926638	99.8	19
GWHBCKZ00000000.genome.fasta.gz	10.1016/j.molp.2021.06.019.	Research Article	Oryza_sativa	391561630	0	0	0	44754788	32119910	99.9	19
GCA_034140825.1_AGIS1.0_genomic.fna.gz	10.1016/j.molp.2023.08.003	Research Article	Oryza_sativa	385710679	0	0	0	43929697	31111469	99.9	24
GCA_002151415.1_R498.Genome.version1_genomic.fna.gz	10.1038/ncomms15324 	Research Article	Oryza_sativa	390983850	5	0.000127883	2	44361539	31778392	99.9	24
GCA_023541355.1_O._rufipogonIRGC106523RS1_genomic.fa	10.1038/s41467-023-37004-y	Research Article	Oryza rufipogon	408889731	7	4.39546E-05	Unknown	Unknown	Unknown	Unknown	18
GWHERJY00000000.genome.fasta.gz	10.1038/s41467-024-48845-6	Research Article	Oryza_rufipogon	411081784	2	4.86521E-07	0	45605929	33499382	99.8	Unknown
GWHERKH00000000.genome.fasta.gz	10.1038/s41467-024-48845-6	Research Article	Oryza_rufipogon	418789499	0	0.00E+00	0	46170355	33852118	99.8	Unknown
GWHERJX00000000.genome.fasta.gz	10.1038/s41467-024-48845-6	Research Article	Oryza_rufipogon	411883275	1	2.43E-07	0	45431278	33854569	99.8	Unknown
W3029.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	415832304	28	6.73E-06	0	46430350	33071520	99.8	20
W2321.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	401030183	52	1.30E-05	0	46380475	33535156	99.8	19
W2310.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	402876785	25	6.21E-06	0	45056352	32807495	99.8	17
W2108.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	419452286	37	8.82E-06	0	49123806	35696025	99.8	14
W2066.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	432189998	129	2.98E-05	0	46426445	36840611	99.7	14
W2064.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	391885531	44	1.12E-05	0	44263402	32164253	99.8	23
W2053.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	387357320	17	4.39E-06	0	43704399	31154700	99.8	16
W2051.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	379323993	29	7.65E-06	0	43596520	30615864	99.8	22
W1976.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400378545	13	3.25E-06	0	45607179	33242042	99.9	19
W1970.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	402883468	51	1.27E-05	0	45104709	32455052	99.8	17
W1943.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	406029323	6	1.48E-06	0	46393703	32699310	99.8	20
W1718.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	394430041	26	6.59E-06	0	44035152	32930473	99.8	20
W1557.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	398364269	11	2.76E-06	0	44831537	32127105	99.8	21
W1553.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405464077	21	5.18E-06	0	45751503	33232547	99.8	15
W1084.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	392530386	41	1.04E-05	0	44211160	31844087	99.8	23
W1080.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	392061544	17	4.34E-06	0	44161857	32477418	99.8	7
W0639.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	398274781	64	1.61E-05	0	46975760	32434848	99.9	20
W0136.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	379614001	45	1.19E-05	0	43203575	31480221	99.8	19
W0107.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	388454169	29	7.47E-06	0	44147253	31974300	99.9	21
W0103.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393082868	50	1.27E-05	0	43974681	32339822	99.8	18
W3074.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405687755	36	8.87E-06	0	46127804	34482623	99.8	19
W3047.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407271666	11	2.70E-06	0	44909380	34691062	99.8	20
W3012.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	422536455	41	9.70E-06	0	46082712	34060041	99.7	12
W2318.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	399110911	44	1.10E-05	0	45603151	32398502	99.8	15
W2283.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	399024986	20	5.01E-06	0	44597452	32459930	99.9	20
W2197.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405755141	41	1.01E-05	0	46428845	33780694	99.8	13
W2099.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	404360424	21	5.19E-06	0	46363365	33864348	99.8	18
W1825.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400096958	4	1.00E-06	0	45229247	31906752	99.9	19
W1810.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	417401369	42	1.01E-05	0	44838810	33969827	99.8	18
W1787.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	395506483	34	8.60E-06	0	45188936	32954015	99.9	18
W1783.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	398781860	22	5.52E-06	0	45236317	34119165	99.8	21
W1725.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405472849	38	9.37E-06	0	44916005	35050280	99.8	16
W1723.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	393774451	22	5.59E-06	0	44206878	32287866	99.8	10
W1559.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	412102121	54	1.31E-05	0	46069101	33676509	99.8	18
W1292.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	401967013	51	1.27E-05	0	45184781	34299623	99.8	22
W1236.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407732984	73	1.79E-05	0	45397054	33947085	99.8	17
W1142.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	391282695	17	4.34E-06	0	43998115	32110923	99.9	21
W1126.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	405689518	51	1.26E-05	0	46206839	33315222	99.8	20
W1117.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	401769267	9	2.24E-06	0	44996428	32992130	99.8	19
W0600.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	429845535	126	2.93E-05	0	47116841	34851995	99.8	18
W0169.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400883008	72	1.80E-05	0	44972591	33246411	99.8	15
W3102.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	336621800	47	1.40E-05	0	38418018	29059207	99.7	13
W1859.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	407920330	27	6.62E-06	0	45627933	34433547	99.8	20
W1839.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	394258775	34	8.62E-06	0	44466675	32498634	99.8	21
W1666.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	404266795	21	5.19E-06	0	44486366	33383356	99.9	16
W1547.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	391804228	19	4.85E-06	0	43844275	32293110	99.8	18
W0234.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400929496	47	1.17E-05	0	44247897	32446359	99.8	19
W0180.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	406911381	21	5.16E-06	0	44569475	33787051	99.8	20
W0171.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	400414721	14	3.50E-06	0	44572595	32637986	99.8	20
W3066.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	425108918	79	1.86E-05	0	46268791	34851377	99.8	7
W3055.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408573715	38	9.30E-06	0	45323625	34645300	99.8	19
W3051.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	415331882	27	6.50E-06	0	46201201	33942475	99.8	16
W3037.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	420216500	47	1.12E-05	0	44952624	36088580	99.8	17
W3035.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	406071586	16	3.94E-06	0	45018755	33442702	99.8	20
W3033.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	413865433	64	1.55E-05	0	46362965	33400819	99.8	17
W3000.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	447733335	97	2.17E-05	0	50120095	38671830	99.8	19
W2308.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	397313787	8	2.01E-06	0	44842081	32578988	99.8	23
W1895.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	414802558	60	1.45E-05	0	46340764	35568905	99.8	15
W1737.transfer.merge.chr.fasta	10.1038/s41586-025-08883-6	Research Article	Oryza_rufipogon	408675233	40	9.79E-06	0	45372651	33202101	99.8	21
